i,Protocolo,Tamanho_Bytes,N_Mensagens,Tempo_Medio_s,Desvio_Padrao_s,Throughput_Bytes_s,Throughput_KB_s,Tempos_Brutos_s
0,IPv4,1,1,0.000242100,0.000060315,4130.52,4.03,0.000181000;0.000172000;0.000327000;0.000162000;0.000258000;0.000224000;0.000267000;0.000227000;0.000270000;0.000333000
0,IPv6,1,1,0.000319600,0.000087281,3128.91,3.06,0.000243000;0.000271000;0.000271000;0.000311000;0.000527000;0.000311000;0.000396000;0.000299000;0.000229000;0.000338000
1,IPv4,2,1,0.000316700,0.000090320,6315.12,6.17,0.000241000;0.000287000;0.000328000;0.000561000;0.000297000;0.000266000;0.000280000;0.000310000;0.000330000;0.000267000
1,IPv6,2,1,0.000323000,0.000074153,6191.95,6.05,0.000254000;0.000421000;0.000251000;0.000309000;0.000465000;0.000286000;0.000288000;0.000277000;0.000386000;0.000293000
2,IPv4,4,1,0.000301000,0.000042103,13289.04,12.98,0.000289000;0.000304000;0.000348000;0.000267000;0.000229000;0.000304000;0.000378000;0.000281000;0.000284000;0.000326000
2,IPv6,4,1,0.000287700,0.000036258,13903.37,13.58,0.000310000;0.000253000;0.000287000;0.000254000;0.000288000;0.000257000;0.000246000;0.000311000;0.000311000;0.000360000
3,IPv4,8,1,0.000268800,0.000037055,29761.90,29.06,0.000298000;0.000253000;0.000284000;0.000281000;0.000227000;0.000281000;0.000193000;0.000263000;0.000285000;0.000323000
3,IPv6,8,1,0.000303000,0.000034529,26402.64,25.78,0.000338000;0.000290000;0.000294000;0.000358000;0.000257000;0.000310000;0.000315000;0.000313000;0.000313000;0.000242000
4,IPv4,16,1,0.000305500,0.000061581,52373.16,51.15,0.000317000;0.000241000;0.000455000;0.000270000;0.000276000;0.000340000;0.000277000;0.000252000;0.000327000;0.000300000
4,IPv6,16,1,0.000318900,0.000068968,50172.47,49.00,0.000312000;0.000459000;0.000274000;0.000247000;0.000268000;0.000248000;0.000337000;0.000403000;0.000342000;0.000299000
5,IPv4,32,1,0.000310000,0.000043438,103225.81,100.81,0.000341000;0.000311000;0.000248000;0.000402000;0.000321000;0.000285000;0.000307000;0.000331000;0.000264000;0.000290000
5,IPv6,32,1,0.000288800,0.000053364,110803.32,108.21,0.000303000;0.000276000;0.000385000;0.000192000;0.000348000;0.000294000;0.000262000;0.000271000;0.000309000;0.000248000
